Irradiance,Temperature,Expected_Power,Actual_Power,Loss,Cleaning
990.0,25.0,61659.6299001032,60432.6032650911,1.9900000000000782,0
990.0,25.0,58387.3544392084,57193.4958987054,2.0447210735434522,0
990.0,25.0,56866.4505054197,55688.3250692554,2.071740764006395,0
990.0,25.0,54101.6646763466,52952.687605952,2.123737000087049,0
990.0,25.0,53108.0438076319,51969.7234112764,2.1434048681565567,0
990.0,25.0,50908.7405995833,49794.3683460383,2.1889605604467084,0
990.0,25.0,48706.365150102,47616.4988259517,2.237626069593944,0
990.0,25.0,47842.5417850395,46762.438225312,2.2576216050152578,0
990.0,25.0,45761.8428078991,44705.6231200856,2.308079445679977,0
990.0,25.0,43582.8283191062,42552.2106248117,2.364733391666303,0
990.0,25.0,42718.5917096619,41698.3050683361,2.3883901610338847,0
990.0,25.0,40741.7579282374,39745.5024937322,2.445293195890083,0
990.0,25.0,38729.1992374684,37758.0161025464,2.5076251356687855,0
990.0,25.0,37929.8692519295,36968.8244214604,2.5337414797975164,0
990.0,25.0,36069.091938022,35132.0703545306,2.5978518813323457,0
990.0,25.0,34163.1162915175,33251.3530726295,2.6688526043930803,0
990.0,25.0,33407.0970486981,32505.5474132411,2.698676973167701,0
990.0,25.0,31661.7550183793,30784.2351133467,2.771545369241883,0
990.0,25.0000000000001,29882.6567598902,29030.3233780137,2.852267750906732,0
990.0,25.0000000000001,29177.7719262948,28335.6244116189,2.886263957382445,0
990.000000000001,25.0000000000004,27548.2960822698,26730.1770512135,2.969762734555639,0
990.000000000002,25.0000000000011,25888.7867589586,25095.8826646675,3.062731759790636,0
990.000000000004,25.0000000000019,25232.3171932584,24449.6111170155,3.1019984024773732,0
990.00000000001,25.000000000005,23718.6152385139,22959.9451602413,3.198627199115251,0
990.00000000003,25.0000000000153,22181.2676837137,21447.8260868261,3.306581063561672,0
990.000000000051,25.0000000000256,21574.2005731035,20850.9762226904,3.3522648867682365,0
990.000000000134,25.0000000000679,20176.4401914796,19477.3468925749,3.464899121302493,0
990.000000000409,25.0000000002065,18760.8097847942,18087.2771908527,3.590104060899362,0
990.000000000683,25.000000000345,18203.2469241291,17540.253126422,3.6421732917783745,0
990.000000001812,25.0000000009151,16923.1883394373,16285.6303052405,3.767363580721094,0
990.000000005507,25.0000000027811,15635.6388940822,15028.0815517579,3.8857212451628675,0
990.000000009201,25.0000000046471,15133.5618038587,14540.8271564153,3.9166896407180665,0
990.000000024417,25.000000012332,13994.8700530391,13444.6743630219,3.931409780383917,0
990.000000074247,25.0000000374984,12913.9101405426,12448.4784868545,3.6041109828300657,0
990.000000124076,25.0000000626647,12540.7707844101,12138.3236262771,3.2091102297579424,0
990.000000336484,25.0000001699416,11816.134405228,11609.6128656973,1.7477927420944523,0
990.000001133335,25.0000005723914,11515.3379061523,11525.5028730459,-0.08827328365388055,0
990.000005117588,25.0000025846405,11632.2941475224,11640.4950944944,-0.07050154396023764,0
990.000025038854,25.0000126458856,11612.9325082684,11579.834088387,0.2850134525266058,0
990.000044960119,25.0000227071308,11619.5385443233,11598.4591266312,0.1814135527989546,0
990.000144566446,25.0000730133565,11615.8335875619,11598.789800285,0.14672892090284514,0
990.000642598081,25.0003245444852,11616.7850026749,11597.2273255991,0.16835705465235365,0
990.003132756255,25.0015822001287,11617.0333652543,11598.135338059,0.16267515639424204,0
990.015583547125,25.0078704783461,11617.3992321724,11597.2209701406,0.1736900112369436,0
990.077837501478,25.0393118694334,11617.3226918436,11594.8285762045,0.19362564194668105,0
990.389107273242,25.1965188248694,11615.1148521416,11582.1290660048,0.2839901848298821,0
991.369207273241,25.6915188248694,11602.3761132685,11542.3155815419,0.5176571690165656,0
992.349307273241,26.1865188248694,11561.8574356962,11502.5519814567,0.5129405423768673,0
993.329407273241,26.6815188248694,11520.7903528404,11462.8488670119,0.5029297821934128,0
994.309507273241,27.1765188248694,11480.9012574571,11423.2053952629,0.5025377442099896,0
995.289607273241,27.6715188248694,11441.0782150989,11383.621663791,0.5021952496756266,0
996.269707273241,28.1665188248694,11401.3612116821,11344.0977808035,0.5022508261550963,0
997.249807273241,28.6615188248694,11361.7390351343,11304.633836001,0.5026096705505402,0
998.229907273241,29.1565188248694,11322.2065542679,11265.2299215549,0.5032290520395316,0
999.210007273241,29.6515188248694,11282.7609151864,11225.8861285043,0.5040857207702332,0
1000.19010727324,30.1465188248694,11243.4011747009,11186.6025471275,0.5051730049551587,0
1001.17020727324,30.6415188248694,11204.1280351133,11147.3792669388,0.5064987475745577,0
1002.15030727324,31.1365188248694,11164.9437698438,11108.2163766974,0.508084897835472,0
1003.13040727324,31.6315188248694,11125.8522922467,11069.1139644177,0.509968372207667,0
1004.11050727324,32.1265188248694,11086.8593452855,11030.0721173802,0.51220301563083,0
1005.09060727324,32.6215188248694,11047.9727940616,10991.090922141,0.5148625270979471,0
1006.07070727324,33.1165188248694,11009.2029940922,10952.1704645424,0.5180441270853625,0
1007.05080727324,33.6115188248694,10970.5631786773,10913.3108297219,0.5218724692883225,0
1008.03090727324,34.1065188248694,10932.0697463694,10874.5121021227,0.5265027170707016,0
1009.01100727324,34.6015188248694,10893.7422162493,10835.7743655022,0.5321206395047057,0
1009.99110727324,35.0965188248694,10855.6024349626,10797.0977029421,0.5389358386235228,0
1010.97120727324,35.5915188248694,10817.6723634526,10758.4821968571,0.5471617609299618,0
1011.95130727324,36.0865188248694,10779.9695102114,10719.9279290039,0.556973571684279,0
1012.93140727324,36.5815188248694,10742.4990541112,10681.4349804903,0.5684345263919869,0
1013.91150727324,37.0765188248694,10695.8526214299,10643.0034317837,0.49410917966757506,0
1014.89160727324,37.5715188248694,10662.0971178983,10604.6333627196,0.5389535899296629,0
1015.87170727324,38.0665188248694,10624.5609810603,10566.3248525104,0.5481273876041827,0
1016.85180727324,38.5615188248694,10587.5846609751,10528.0779797535,0.5620420816178907,0
1017.83190727324,39.0565188248694,10551.0062494271,10489.8928224395,0.5792189440786135,0
1018.81200727324,39.5515188248694,10503.7887330598,10451.7694579601,0.49524296824416175,0
1019.79210727324,40.0465188248694,10471.319804366,10413.7079631166,0.5501870091426161,0
1020.77220727324,40.5415188248694,10434.6323541017,10375.7084141274,0.5646958893682166,0
1021.75230727324,41.0365188248694,10398.7481367707,10337.7708866358,0.5863902974943684,0
1022.73240727324,41.5315188248694,10351.2537673517,10299.8954557178,0.4961554685857079,0
1023.71250727324,42.0265188248694,10319.7203021606,10262.0821958897,0.5585239190914228,0
1024.69260727324,42.5215188248694,10283.7651616547,10224.3311811156,0.5779398849043337,0
1025.67270727324,43.0165188248694,10237.8329291715,10186.6424848147,0.5000124998224861,0
1026.65280727324,43.5115188248694,10205.6291312453,10149.0161798692,0.5547227970765081,0
1027.63290727324,44.0065188248694,10169.8551424993,10111.452338631,0.5742737044920001,0
1028.61300727324,44.5015188248694,10124.8971286303,10073.9510329297,0.5031764279020529,0
